,Date,Compound,Approve,Disapprove
96,2017-11-04,0.4832555555555555,37.90613,55.140930000000004
97,2017-11-07,0.30757777777777773,37.90613,56.140930000000004
98,2017-11-10,0.5654190476190475,38.90613,54.140930000000004
99,2017-11-13,0.40243703703703704,39.550092,55.496924
100,2017-11-16,0.1407777777777778,38.90613,55.140930000000004
101,2017-11-19,-0.10876999999999996,38.31903,55.03624
103,2017-11-25,0.07832500000000002,37.90613,54.140930000000004
104,2017-11-28,0.144954,34.90613,58.140930000000004
105,2017-12-01,-0.08543703703703705,35.90613,58.140930000000004
106,2017-12-04,0.3266363636363636,37.90613,57.140930000000004
107,2017-12-07,0.2517516129032258,36.90613,57.140930000000004
108,2017-12-10,-0.17504999999999998,35.9985425,56.45039499999999
109,2017-12-13,0.5419812500000001,37.614145,57.895265
110,2017-12-16,0.34243913043478263,36.90613,57.140930000000004
111,2017-12-19,0.5870375,36.90613,56.140930000000004
114,2017-12-28,0.18015599999999998,40.90613,53.140930000000004
115,2017-12-31,0.18015599999999998,39.59429667,54.63311333
