,Compound,Count,Date
338,-0.2263,1,2018-01-21
339,0.0,1,2018-01-21
340,0.0,1,2018-01-21
341,0.0,1,2018-01-21
342,-0.6759,1,2018-01-21
343,0.0,1,2018-01-21
344,0.2714,1,2018-01-21
345,0.4654,1,2018-01-21
346,0.0752,1,2018-01-20
347,0.9647,1,2018-01-20
348,-0.2942,1,2018-01-20
349,0.0,1,2018-01-20
350,0.6688,1,2018-01-20
351,0.4215,1,2018-01-20
352,0.2047,1,2018-01-20
353,0.9546,1,2018-01-20
354,0.9595,1,2018-01-19
355,0.3846,1,2018-01-19
356,0.8016,1,2018-01-19
357,-0.7778,1,2018-01-19
358,0.0,1,2018-01-19
359,-0.8622,1,2018-01-19
360,0.3367,1,2018-01-18
361,0.8814,1,2018-01-18
362,0.92,1,2018-01-18
363,-0.3382,1,2018-01-18
364,0.3802,1,2018-01-18
365,-0.2698,1,2018-01-18
366,0.9273,1,2018-01-18
367,-0.6239,1,2018-01-18
368,0.25,1,2018-01-18
369,0.6238,1,2018-01-18
370,0.8823,1,2018-01-18
371,-0.186,1,2018-01-18
372,0.636,1,2018-01-17
373,0.9577,1,2018-01-17
374,0.9456,1,2018-01-17
375,0.9265,1,2018-01-17
376,0.0,1,2018-01-17
377,0.4404,1,2018-01-16
378,-0.2732,1,2018-01-16
379,0.7574,1,2018-01-16
380,0.6369,1,2018-01-16
381,0.5093,1,2018-01-16
382,0.0,1,2018-01-16
383,-0.9689,1,2018-01-16
384,-0.5838,1,2018-01-16
385,0.7739,1,2018-01-16
386,-0.296,1,2018-01-16
387,-0.6921,1,2018-01-16
388,0.886,1,2018-01-16
389,-0.296,1,2018-01-16
390,0.0813,1,2018-01-16
391,0.5256,1,2018-01-16
392,0.0,1,2018-01-16
393,0.6369,1,2018-01-16
394,-0.2244,1,2018-01-15
395,0.743,1,2018-01-15
396,0.6399,1,2018-01-15
397,0.8338,1,2018-01-15
398,0.0772,1,2018-01-14
399,0.6144,1,2018-01-14
400,0.919,1,2018-01-14
401,-0.6921,1,2018-01-14
402,-0.7564,1,2018-01-14
403,-0.628,1,2018-01-14
404,0.7003,1,2018-01-14
405,0.0,1,2018-01-14
406,-0.34,1,2018-01-14
407,-0.891,1,2018-01-14
408,0.7777,1,2018-01-14
409,-0.6541,1,2018-01-13
410,0.6797,1,2018-01-13
411,-0.4199,1,2018-01-13
412,0.0,1,2018-01-13
413,0.0,1,2018-01-13
414,-0.3382,1,2018-01-13
415,0.9477,1,2018-01-12
416,-0.5497,1,2018-01-12
417,0.4819,1,2018-01-12
418,-0.3164,1,2018-01-12
419,0.9096,1,2018-01-12
420,0.765,1,2018-01-12
421,-0.7269,1,2018-01-12
422,-0.3927,1,2018-01-12
423,0.8832,1,2018-01-12
424,-0.8777,1,2018-01-12
425,0.8801,1,2018-01-12
426,0.7897,1,2018-01-12
427,0.7495,1,2018-01-12
428,0.7717,1,2018-01-12
429,0.6696,1,2018-01-11
430,0.3525,1,2018-01-11
431,-0.3365,1,2018-01-11
432,-0.6908,1,2018-01-11
433,-0.8804,1,2018-01-11
434,0.0772,1,2018-01-11
435,-0.6312,1,2018-01-11
436,0.8103,1,2018-01-11
437,0.7494,1,2018-01-10
438,0.9151,1,2018-01-10
439,0.967,1,2018-01-10
440,0.837,1,2018-01-10
441,-0.1759,1,2018-01-10
442,-0.5667,1,2018-01-10
443,-0.4173,1,2018-01-10
444,0.7997,1,2018-01-10
445,0.6476,1,2018-01-10
446,0.8122,1,2018-01-10
447,0.2732,1,2018-01-09
448,0.9774,1,2018-01-09
449,0.8968,1,2017-12-31
450,0.8915,1,2017-12-31
451,-0.6927,1,2017-12-31
452,0.8862,1,2017-12-31
453,0.6114,1,2017-12-31
454,0.8903,1,2017-12-31
455,0.7959,1,2017-12-31
456,-0.68,1,2017-12-31
457,0.0,1,2017-12-31
458,0.2714,1,2017-12-30
459,-0.9736,1,2017-12-30
460,0.0516,1,2017-12-30
461,-0.4574,1,2017-12-30
462,0.4215,1,2017-12-30
463,0.5093,1,2017-12-30
464,-0.573,1,2017-12-29
465,0.3164,1,2017-12-29
466,0.4019,1,2017-12-29
467,0.0,1,2017-12-29
468,0.4404,1,2017-12-29
469,0.5719,1,2017-12-29
470,0.5845,1,2017-12-29
471,0.6533,1,2017-12-29
472,0.729,1,2017-12-28
473,0.0,1,2017-12-28
474,0.8221,1,2017-12-28
475,0.0,1,2017-12-28
476,0.1221,1,2017-12-28
477,0.0,1,2017-12-28
478,-0.8743,1,2017-12-28
479,0.4926,1,2017-12-28
480,0.2003,1,2017-12-28
481,0.0,1,2017-12-28
482,-0.1027,1,2017-12-28
483,0.8777,1,2017-12-27
484,-0.1027,1,2017-12-27
485,0.9218,1,2017-12-26
486,0.7027,1,2017-12-26
487,-0.1742,1,2017-12-26
488,0.908,1,2017-12-25
489,0.4939,1,2017-12-25
490,0.7277,1,2017-12-25
491,0.7019,1,2017-12-25
492,0.9612,1,2017-12-25
493,0.3595,1,2017-12-24
494,-0.1429,1,2017-12-24
495,0.4738,1,2017-12-24
496,0.3818,1,2017-12-24
497,0.2942,1,2017-12-23
498,-0.7922,1,2017-12-23
499,0.5859,1,2017-12-23
500,0.5386,1,2017-12-23
501,0.0,1,2017-12-23
502,0.0,1,2017-12-23
503,-0.7645,1,2017-12-22
504,0.6561,1,2017-12-22
505,0.9305,1,2017-12-22
506,0.9569,1,2017-12-22
507,-0.6403,1,2017-12-22
508,-0.1531,1,2017-12-22
509,0.7277,1,2017-12-22
510,0.5267,1,2017-12-22
511,0.6239,1,2017-12-22
512,0.5244,1,2017-12-22
