text,created_at,Unique Identifier
Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it!,2/24/2017,12
"The FBI is totally unable to stop the national security ""leakers"" that have permeated our government for a long time. They can't even......",2/24/2017,12
find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW,2/24/2017,12
Going to CPAC!,2/24/2017,12
Trump vows to fight 'epidemic' of human trafficking https://t.co/oDLZ2NdrtA,2/24/2017,12
FAKE NEWS media knowingly doesn't tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!,2/25/2017,13
Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!,2/25/2017,13
The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.,2/25/2017,13
Great optimism for future of U.S. business AND JOBS with the DOW having an 11th straight record close. Big tax &amp; regulation cuts coming!,2/25/2017,13
Weekly Address from @WhiteHouse: https://t.co/uaoQSHBOQB https://t.co/7eF6aC6kEC,2/25/2017,13
I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!,2/25/2017,13
Congratulations to Thomas Perez who has just been named Chairman of the DNC. I could not be happier for him or for the Republican Party!,2/25/2017,13
"The race for DNC Chairman was of course totally ""rigged."" Bernie's guy like Bernie himself never had a chance. Clinton demanded Perez!",2/26/2017,13
For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!,2/26/2017,13
Russia talk is FAKE NEWS put out by the Dems and played up by the media in order to mask the big election defeat and the illegal leaks!,2/26/2017,13
Big dinner with Governors tonight at White House. Much to be discussed including healthcare.,2/26/2017,13
Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peoƒ?? https://t.co/60jigi6ffS,2/27/2017,13
GOP now viewed more favorably than Dems in Trump era (per NBC/WSJ poll) via @HotlineJosh:https://t.co/Soebxtg2Zd,2/27/2017,13
I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!,2/28/2017,14
Join me live at 9:00 P.M. #JointAddress https://t.co/J882zbyVkJ https://t.co/gTtK3vJmkU,3/1/2017,14
#JointSession #MAGA???§????https://t.co/RDO6Jt2pip,3/1/2017,14
THANK YOU!,3/1/2017,14
Since November 8th Election Day the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!,3/2/2017,14
Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his response more accurately but it was clearly not....,3/3/2017,15
...intentional. This whole narrative is a way of saving face for Democrats losing an election that everyone thought they were supposed.....,3/3/2017,15
...to win. The Democrats are overplaying their hand. They lost the election and now they have lost their grip on reality. The real story...,3/3/2017,15
"...is all of the illegal leaks of classified and other information. It is a total ""witch hunt!""",3/3/2017,15
Nick Adams new book Green Card Warrior is a must read. The merit-based system is the way to go. Canada Australia! @foxandfriends,3/3/2017,15
It is so pathetic that the Dems have still not approved my full Cabinet.,3/3/2017,15
Weekly AddressJoin me here: https://t.co/SEavQK5zy5 https://t.co/EnyXYeqgcp,3/3/2017,15
We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite! https://t.co/Ik3yqjHzsA,3/3/2017,15
I hear by demand a second investigation after Schumer of Pelosi for her close ties to Russia and lying about it. https://t.co/qCDljfF3wN,3/3/2017,15
We must fix our education system for our kids to Make America Great Again. Wonderful day at Saint Andrew in Orlando. https://t.co/OTJaHcvLzf,3/3/2017,15
I hearby demand a second investigation after Schumer of Pelosi for her close ties to Russia and lying about it. https://t.co/qCDljfF3wN,3/3/2017,15
I hereby demand a second investigation after Schumer of Pelosi for her close ties to Russia and lying about it. https://t.co/qCDljfF3wN,3/3/2017,15
MAKE AMERICA GREAT AGAIN! https://t.co/kuQiZDz4rA,3/3/2017,15
The first meeting Jeff Sessions had with the Russian Amb was set up by the Obama Administration under education program for 100 Ambs......,3/4/2017,15
