source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,Column1
Twitter for iPhone,...But while Dallas dropped to it knees as a team they ALL stood up for our National Anthem. Big progress being made - we love our country!,9/26/2017,478,1969,FALSE,9.12628E+17,84
Twitter for iPhone,But while Dallas dropped to its knees as a team they all stood up for our National Anthem. Big progress being made-we all love our country!,9/26/2017,15275,85702,FALSE,9.1263E+17,84
Twitter for iPhone,"Luther Strange has been shooting up in the Alabama polls since my endorsement. Finish the job - vote today for ""Big Luther.""",9/26/2017,4884,29142,FALSE,9.12632E+17,84
Twitter for iPhone,Great interview on @foxandfriends with the parents of Otto Warmbier: 1994 - 2017. Otto was tortured beyond belief by North Korea.,9/26/2017,12494,50076,FALSE,9.12637E+17,84
Twitter for iPhone,Thank you to Carmen Yulin Cruz the Mayor of San Juan for your kind words on FEMA etc.We are working hard. Much food and water there/on way,9/26/2017,14099,67522,FALSE,9.12651E+17,84
Twitter for iPhone,The NFL has all sorts of rules and regulations. The only way out for them is to set a rule that you can't kneel during our National Anthem!,9/26/2017,19704,89132,FALSE,9.12665E+17,84
Twitter for iPhone,ALABAMA get out and vote for Luther Strange - he has proven to me that he will never let you down! #MAGA,9/26/2017,4968,27784,FALSE,9.12671E+17,84
Twitter for iPhone,Honored to welcome Republican and Democrat members of the House Ways and Means Committee to the White House today! #USA???ß???? https://t.co/nWnX9CDP0d,9/26/2017,6989,37898,FALSE,9.12712E+17,84
Twitter for iPhone,RT @ricardorossello: Briefed @POTUS @realDonaldTrump in #SituationRoom and thanked him for his leadership quick response &amp; commitment to oÉ??,9/26/2017,8302,0,TRUE,9.12772E+17,84
Twitter for iPhone,Heading over to the @UN to meet with Ambassador @NikkiHaley and all of her great representatives! #USA???ß????,9/26/2017,6984,43553,FALSE,9.1278E+17,84
Media Studio,America's hearts &amp; prayers are with the people of #PuertoRico &amp; the #USVI. We will get through this - and we will get through this TOGETHER! https://t.co/NcmsF4Fqpr,9/26/2017,10629,46722,FALSE,9.12792E+17,84
Media Studio,I want to express our support and extend our prayers to all those affected by the vile terror attack in Spain last month. ???ß???????¶???? https://t.co/5mT0QXFlnL,9/26/2017,8658,46986,FALSE,9.12807E+17,84
Media Studio,It was an honor to welcome President @MarianoraJoy of Spain. Thank you for standing w/ us in our efforts to isolate the brutal #NoKo regime. https://t.co/43U4T34JgF,9/26/2017,8536,39563,FALSE,9.1281E+17,84
Twitter for iPhone,Thank you to our wonderful team @USUN and their families. Keep up the GREAT work! #USA???ß???? https://t.co/s7KhlSMEqY,9/26/2017,6359,34145,FALSE,9.12826E+17,84
Twitter for iPhone,70 years ago today the National Security Council met for the first time. Great history of advising Presidents-then &amp; now! Thanks NSC Staff!,9/27/2017,8725,54780,FALSE,9.12837E+17,84
Twitter for iPhone,Even Usain Bolt from Jamaica one of the greatest runners and athletes of all time showed RESPECT for our National Anthem! ???ß???????????˝ https://t.co/zkenuAP9RS,9/27/2017,43791,146298,FALSE,9.12848E+17,84
Twitter for iPhone,Congratulations to Roy Moore on his Republican Primary win in Alabama. Luther Strange started way back &amp; ran a good race. Roy WIN in Nov!,9/27/2017,3296,12517,FALSE,9.1286E+17,84
Twitter for iPhone,Congratulations to Roy Moore on his Republican Primary win in Alabama. Luther Strange started way back &amp; ran a good race. Roy WIN in Dec!,9/27/2017,17659,88267,FALSE,9.12864E+17,84
Twitter for iPhone,Spoke to Roy Moore of Alabama last night for the first time. Sounds like a really great guy who ran a fantastic race. He will help to #MAGA!,9/27/2017,13116,62258,FALSE,9.12994E+17,84
Twitter for iPhone,Spoke to Jerry Jones of the Dallas Cowboys yesterday. Jerry is a winner who knows how to get things done. Players will stand for Country!,9/27/2017,17292,92200,FALSE,9.12998E+17,84
Twitter for iPhone,With one Yes vote in hospital &amp; very positive signs from Alaska and two others (McCain is out) we have the HCare Vote but not for Friday!,9/27/2017,10093,54410,FALSE,9.13003E+17,84
Twitter for iPhone,We will have the votes for Healthcare but not for the reconciliation deadline of Friday after which we need 60. Get rid of Filibuster Rule!,9/27/2017,13283,64338,FALSE,9.13004E+17,84
Twitter for iPhone,Facebook was always anti-Trump.The Networks were always anti-Trump henceFake News @nytimes(apologized) &amp; @WaPo were anti-Trump. Collusion?,9/27/2017,16482,66773,FALSE,9.13035E+17,84
Twitter for iPhone,..But the people were Pro-Trump! Virtually no President has accomplished what we have accomplished in the first 9 months-and economy roaring,9/27/2017,18837,96049,FALSE,9.13036E+17,84
Twitter for iPhone,Just arrived in Indianapolis Indiana to make an announcement on #TaxReform! Together we are going to MAKE AMERICA GREAT AGAIN! https://t.co/Dy9UwhkWHL,9/27/2017,10865,58803,FALSE,9.13118E+17,84
Media Studio,This is the right TAX CUT @ the RIGHT TIME. We will ALL succeed &amp; grow TOGETHER É?? as one team one people &amp; one American family. #TaxReform https://t.co/rtLWANJjIQ,9/27/2017,14927,61451,FALSE,9.13187E+17,84
Twitter for iPhone,It is time to take care of OUR people to rebuild OUR NATION and to fight for OUR GREAT AMERICAN WORKERS! #TaxReform #USA???ß???? https://t.co/LsZvHg3got,9/28/2017,17748,75786,FALSE,9.1322E+17,84
Twitter for iPhone,Democrats don't want massive tax cuts - how does that win elections? Great reviews for Tax Cut and Reform Bill.,9/28/2017,17703,78830,FALSE,9.13372E+17,84
Twitter for iPhone,The electric power grid in Puerto Rico is totally shot. Large numbers of generators are now on Island. Food and water on site.,9/28/2017,17959,86272,FALSE,9.13403E+17,84
Media Studio,Welcome back @SteveScalise!#TeamScalise https://t.co/CoRed8rfL2,9/28/2017,14362,66143,FALSE,9.13488E+17,84
Twitter for iPhone,FEMA &amp; First Responders are doing a GREAT job in Puerto Rico. Massive food &amp; water delivered. Docks &amp; electric grid dead. Locals trying....,9/28/2017,11022,54607,FALSE,9.13549E+17,84
Twitter for iPhone,...really hard to help but many have lost their homes. Military is now on site and I will be there Tuesday. Wish press would treat fairly!,9/28/2017,14258,73750,FALSE,9.1355E+17,84
Twitter for iPhone,RT @IvankaTrump: Thank you to the amazing men and women working tirelessly to bring relief to those in need. #PuertoRico #HurricaneMaria htÉ??,9/28/2017,9711,0,TRUE,9.13551E+17,84
Twitter for iPhone,RT @billoreilly: Hannity crushing MSNBC at 9. Good for him! Check the No Spin News on https://t.co/rryWmyXe7C. Killing England a huge bestsÉ??,9/28/2017,9920,0,TRUE,9.13551E+17,84
Twitter for iPhone,"Puerto Rico is devastated. Phone system electric grid many roads gone. FEMA and First Responders are amazing. Governor said ""great job!""",9/29/2017,13560,65044,FALSE,9.13555E+17,85
Twitter for iPhone,RT @GOPChairwoman: The Trump Inaugural Committee is donating $3 million in surplus funds to victims of the latest hurricanes. https://t.coÉ??,9/29/2017,14440,0,TRUE,9.13571E+17,85
Twitter for iPhone,GDP was revised upward to 3.1 for last quarter. Many people thought it would be years before that happened. We have just begun!,9/29/2017,22102,91189,FALSE,9.1359E+17,85
Twitter for iPhone,"Puerto Rico Governor Ricardo Rossello just stated: ""The Administration and the President every time we've spoken they've delivered......",9/29/2017,15806,67066,FALSE,9.13724E+17,85
Twitter for iPhone,...The fact is that Puerto Rico has been destroyed by two hurricanes. Big decisions will have to be made as to the cost of its rebuilding!,9/29/2017,11335,57452,FALSE,9.13725E+17,85
Twitter for iPhone,Thank you to FEMA our great Military &amp; all First Responders who are working so hardagainst terrible oddsin Puerto Rico. See you Tuesday!,9/29/2017,14113,72303,FALSE,9.13758E+17,85
Twitter for iPhone,RECORD HIGH FOR S &amp; P 500!,9/29/2017,11340,59517,FALSE,9.1376E+17,85
Media Studio,This week we came one step closer to reaching the goal of aligning the skills taught in our nationÉ??s classrooms with the jobs of the future. https://t.co/9s1ggeIJJ5,9/29/2017,10362,50093,FALSE,9.13822E+17,85
Twitter for iPhone,Thank you @ShopFloorNAM. An honor to be with you today. Great news! Manufacturers report record-high economic optimism in 2017. #TaxReform https://t.co/4sgMWGotOF,9/29/2017,6469,31256,FALSE,9.13856E+17,85
Twitter for iPhone,My thoughts are with all those observing Yom Kippur the holiest day of the Jewish year. https://t.co/0LuZCZl29D,9/29/2017,12029,53021,FALSE,9.13889E+17,85
